# This is a continuation of trace file D:\1c\Workapaces\diplom\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-28 12:51:16.822
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.822 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ПереместитьКолонкуВправо/ПереместитьКолонкуВправо.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.824 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ФорматWord2007/ФорматWord2007.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.825 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/МетаданныеПерерасчеты/Picture.png |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.826 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/InformationRegisters/НомераОтсканированныхФайлов/НомераОтсканированныхФайлов.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.826 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonForms/НапоминаниеПриРедактировании/НапоминаниеПриРедактировании.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.827 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ПриложитьФайл/ПриложитьФайл.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.828 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ВажностьНеЗадана/Picture.svg |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.828 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonForms/Вопрос/Вопрос.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.829 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/РаботаСФайламиСлужебныйКлиентСервер/РаботаСФайламиСлужебныйКлиентСервер.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.830 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ПрочиеПользовательскиеНастройки/ПрочиеПользовательскиеНастройки.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.830 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/УправлениеДоступомСлужебныйПовтИсп/УправлениеДоступомСлужебныйПовтИсп.mdo |
