# This is a continuation of trace file D:\1c\Workapaces\MyDiplomTest\.metadata\trace.log.bak_6
# version: 1.1
# verbose: true
# Time of creation: 2025-10-02 22:14:37.866
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:37.866 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/DataProcessors/РаботаСФайлами/Forms/ФормаИмпортаПапки/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/DataProcessor.РаботаСФайлами#/forms:ФормаИмпортаПапки] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:37.871 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/InformationRegisters/ЗначенияГруппДоступа/Forms/ФормаЗаписи/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:37.873 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/InformationRegisters/ЗначенияГруппДоступа/Forms/ФормаЗаписи/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.InformationRegisterFormImpl@242fa709, objects to update in infobase=[bm://Diplomempty/InformationRegister.ЗначенияГруппДоступа#/forms:ФормаЗаписи] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:37.873 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/InformationRegisters/ЗначенияГруппДоступа/Forms/ФормаЗаписи/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/InformationRegister.ЗначенияГруппДоступа#/forms:ФормаЗаписи] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:37.875 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/DataProcessors/РаботаСФайлами/Forms/ФормаОтчета/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.034 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/DataProcessors/РаботаСФайлами/Forms/ФормаОтчета/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@fb22b9a5, objects to update in infobase=[bm://Diplomempty/DataProcessor.РаботаСФайлами#/forms:ФормаОтчета] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.047 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/DataProcessors/РаботаСФайлами/Forms/ФормаОтчета/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/DataProcessor.РаботаСФайлами#/forms:ФормаОтчета] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.055 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/Catalogs/ТомаХраненияФайлов/Forms/ФормаСписка/Form.form |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.118 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/Diplomempty/src/Catalogs/ТомаХраненияФайлов/Forms/ФормаСписка/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@3eff9329, objects to update in infobase=[bm://Diplomempty/Catalog.ТомаХраненияФайлов#/forms:ФормаСписка] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.144 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/Diplomempty/src/Catalogs/ТомаХраненияФайлов/Forms/ФормаСписка/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://Diplomempty/Catalog.ТомаХраненияФайлов#/forms:ФормаСписка] |
| Worker-3: Активация проектного контекста | 2025-10-02 22:14:39.199 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplomempty/src/CommonForms/СозданиеНачальногоОбразаСФайлами/Form.form |
